id,zona,pais,tipo_prod,presentacion,prioridad,fecha_ped,id_ped,fecha_env,unids,precio_unit,cost_unit,venta_total,cost_total
A047,Europa,Liechtenstein,Bebida Bolt,Uva,Media,12/08/2020,540352094,27/08/2020,1047,49.63,31.79,51962.61,33284.13
A048,Europa,Spain,Bebida Bolt,Naranja,Alta,16/05/2022,540324628,24/06/2022,2919,49.63,31.79,144869.97,92795.01
A049,America Del Norte,Estados Unidos,Bebida Bolt,Nuevo Mango,Media,14/05/2021,562583100,23/06/2021,9696,47.45,31.79,460075.2,308235.84
A050,Asia,China,Bebida Bolt,Fresa,Baja,27/05/2022,565477311,21/06/2022,6157,51.2,31.79,315238.4,195731.03
A051,America Del Sur,Argentina,Bebida Bolt,Naranja,Critica,18/10/2020,572249782,18/10/2020,282,38.78,31.79,10935.96,8964.78
A052,America Del Sur,Argentina,Bebida Bolt,Nuevo Mango,Alta,14/09/2020,574051368,28/09/2020,3411,38.78,31.79,132278.58,108435.69
A053,Africa,Mozambique,Bebida Bolt,Nuevo Mango,Baja,24/04/2021,579580581,11/05/2021,96,35.7,31.79,3427.2,3051.84
A054,Australia y Oceania,Australia,Bebida Bolt,Nuevo Mango,Baja,8/08/2021,583977258,22/09/2021,703,49.63,31.79,34889.89,22348.37
A055,Centroamerica y Caribe,Saint Kitts and Nevis ,Bebida Bolt,Nuevo Mango,Alta,18/01/2022,623535764,29/01/2022,6944,49.63,31.79,344630.72,220749.76
A056,Europa,Portugal,Bebida Bolt,Fresa,Media,22/03/2023,632386195,11/05/2023,5983,49.63,31.79,296936.29,190199.57
A057,Europa,Austria,Bebida Bolt,Uva,Critica,28/06/2022,632866847,12/07/2022,8219,49.63,31.79,407908.97,261282.01
A058,Centroamerica y Caribe,Guatemala,Bebida Bolt,Naranja,Critica,25/12/2020,643387544,17/01/2021,1527,49.63,31.79,75785.01,48543.33
A059,Europa,Hungary,Bebida Bolt,Nuevo Mango,Baja,23/12/2021,670916020,30/12/2021,7815,49.63,31.79,387858.45,248438.85
A060,Asia,Thailand,Bebida Bolt,Fresa,Baja,4/04/2023,679107701,6/04/2023,1915,51.2,31.79,98048,60877.85
A061,Europa,Romania,Bebida Bolt,Uva,Baja,21/09/2021,695057189,5/10/2021,1723,49.63,31.79,85512.49,54774.17
A062,Europa,Poland,Bebida Bolt,Naranja,Critica,21/03/2022,707739102,27/03/2022,4583,49.63,31.79,227454.29,145693.57
A063,Centroamerica y Caribe,Haiti,Bebida Bolt,Nuevo Mango,Baja,20/10/2020,727281463,8/12/2020,7601,49.63,31.79,377237.63,241635.79
A064,America Del Sur,Paraguay,Bebida Bolt,Fresa,Baja,8/07/2022,731539952,9/07/2022,7783,38.78,31.79,301824.74,247421.57
A065,Asia,Uzbekistan,Bebida Bolt,Naranja,Critica,25/11/2020,813131034,28/11/2020,2397,51.2,31.79,122726.4,76200.63
A066,Centroamerica y Caribe,Belize,Bebida Bolt,Nuevo Mango,Media,10/03/2021,814142549,13/04/2021,1727,49.63,31.79,85711.01,54901.33
A067,America Del Sur,Bolivia,Bebida Bolt,Nuevo Mango,Baja,4/04/2022,829201543,14/04/2022,8018,38.78,31.79,310938.04,254892.22
A068,Asia,Nepal,Bebida Bolt,Nuevo Mango,Baja,4/04/2023,830754220,6/04/2023,7490,51.2,31.79,383488,238107.1
A069,America Del Norte,Estados Unidos,Bebida Bolt,Nuevo Mango,Media,29/11/2020,838085019,18/12/2020,6836,47.45,31.79,324368.2,217316.44
A070,America Del Sur,Argentina,Bebida Bolt,Fresa,Media,23/07/2022,852058255,28/07/2022,1827,38.78,31.79,70851.06,58080.33
A071,America Del Sur,Argentina,Bebida Bolt,Uva,Alta,23/03/2023,868652760,7/05/2023,2510,38.78,31.79,97337.8,79792.9
A072,Africa,Angola,Bebida Bolt,Naranja,Critica,22/06/2022,879757964,27/07/2022,878,35.7,31.79,31344.6,27911.62
A073,Asia,Philippines,Bebida Bolt,Nuevo Mango,Critica,29/05/2022,890339171,9/07/2022,1,51.2,31.79,51.2,31.79
A074,Europa,Portugal,Bebida Bolt,Fresa,Media,24/09/2022,892692220,8/10/2022,6320,49.63,31.79,313661.6,200912.8
A075,America Del Norte,Canada,Bebida Bolt,Uva,Media,23/10/2021,897720181,30/10/2021,4206,47.45,31.79,199574.7,133708.74
A076,America Del Sur,Colombia,Bebida Bolt,Naranja,Critica,7/10/2022,914382064,3/11/2022,4827,38.78,31.79,187191.06,153450.33
A077,Asia,South Korea,Bebida Bolt,Nuevo Mango,Alta,25/03/2023,917417895,27/03/2023,3197,51.2,31.79,163686.4,101632.63
A078,Europa,Sweden,Bebida Bolt,Fresa,Baja,30/08/2022,927084577,13/09/2022,3783,49.63,31.79,187750.29,120261.57
A079,America Del Norte,Estados Unidos,Bebida Bolt,Naranja,Media,28/11/2020,938801753,9/12/2020,1156,47.45,31.79,54852.2,36749.24
A080,America Del Norte,Estados Unidos,Bebida Bolt,Nuevo Mango,Alta,8/07/2022,939389693,15/07/2022,5140,47.45,31.79,243893,163400.6
A081,America Del Sur,Colombia,Bebida Bolt,Fresa,Baja,19/10/2020,939460504,21/10/2020,6095,38.78,31.79,236364.1,193760.05
A082,Europa,Spain,Bebida Bolt,Uva,Baja,3/07/2021,940079343,14/08/2021,9223,49.63,31.79,457737.49,293199.17
A083,America Del Sur,Argentina,Bebida Bolt,Naranja,Critica,31/03/2022,941685664,20/05/2022,4569,38.78,31.79,177185.82,145248.51
A084,Europa,Poland,Bebida Bolt,Nuevo Mango,Media,27/12/2020,945736443,17/01/2021,3285,49.63,31.79,163034.55,104430.15
A085,Centroamerica y Caribe,Guatemala,Bebida Bolt,Fresa,Alta,23/01/2023,961049926,6/02/2023,4885,49.63,31.79,242442.55,155294.15
A086,Asia,Indonesia,Bebida Bolt,Naranja,Baja,16/01/2023,967345178,26/02/2023,7789,51.2,31.79,398796.8,247612.31
A087,Asia,Taiwan,Bebida Bolt,Nuevo Mango,Media,9/06/2021,967977750,22/07/2021,4982,51.2,31.79,255078.4,158377.78
A088,America Del Norte,Estados Unidos,Bebida Bolt,Fresa,Alta,26/10/2021,115831792,16/11/2021,7516,47.45,31.79,356634.2,238933.64
A089,Europa,Norway,Bebida Bolt,Naranja,Baja,25/01/2021,116113746,8/02/2021,9467,49.63,31.79,469847.21,300955.93
A090,Europa,Germany,Bebida Bolt,Nuevo Mango,Media,15/12/2022,121176040,30/12/2022,7864,49.63,31.79,390290.32,249996.56
A091,Centroamerica y Caribe,The Bahamas,Bebida Bolt,Fresa,Baja,24/05/2022,121239984,22/06/2022,7252,49.63,31.79,359916.76,230541.08
A092,Africa,Liberia,Bebida Bolt,Uva,Media,18/12/2020,128816258,19/12/2020,842,35.7,31.79,30059.4,26767.18
A093,Asia,India,Bebida Bolt,Fresa,Alta,15/11/2020,136167657,28/11/2020,7415,51.2,31.79,379648,235722.85
A094,Europa,Germany,Bebida Bolt,Uva,Alta,11/09/2021,144708669,12/10/2021,3672,49.63,31.79,182241.36,116732.88
A095,Europa,Greece,Bebida Bolt,Naranja,Media,12/06/2021,146849286,2/07/2021,4672,49.63,31.79,231871.36,148522.88
A096,Europa,Georgia,Bebida Bolt,Nuevo Mango,Alta,24/04/2022,150160205,1/05/2022,4813,49.63,31.79,238869.19,153005.27
A097,America Del Sur,Argentina,Bebida Bolt,Fresa,Alta,1/04/2021,152694785,25/04/2021,4628,38.78,31.79,179473.84,147124.12
A098,Australia y Oceania,Papua New Guinea,Bebida Bolt,Naranja,Alta,18/02/2022,152819240,25/03/2022,3936,49.63,31.79,195343.68,125125.44
A099,Europa,Cyprus,Bebida Bolt,Nuevo Mango,Critica,27/09/2022,156183803,4/11/2022,4282,49.63,31.79,212515.66,136124.78
A100,Asia,Taiwan,Bebida Bolt,Nuevo Mango,Critica,21/12/2020,160264194,4/01/2021,5743,51.2,31.79,294041.6,182569.97
A1000,Centroamerica y Caribe,Grenada,Bebida Bolt,Fresa,Baja,26/11/2021,583977258,10/01/2022,5440,49.63,31.79,269987.2,172937.6
A1001,America Del Sur,Colombia,Bebida Bolt,Naranja,Critica,8/05/2022,623535764,19/05/2022,5415,38.78,31.79,209993.7,172142.85
A1002,Europa,Austria,Bebida Bolt,Nuevo Mango,Media,10/07/2023,632386195,29/08/2023,5519,49.63,31.79,273907.97,175449.01
A1003,America Del Sur,Colombia,Bebida Bolt,Nuevo Mango,Alta,16/10/2022,632866847,30/10/2022,5655,38.78,31.79,219300.9,179772.45
A1004,Europa,Liechtenstein,Bebida Bolt,Nuevo Mango,Media,14/04/2021,643387544,7/05/2021,6640,49.63,31.79,329543.2,211085.6
A1005,Europa,Spain,Bebida Bolt,Nuevo Mango,Alta,12/04/2022,670916020,19/04/2022,6941,49.63,31.79,344481.83,220654.39
A1006,America Del Norte,Canadá,Bebida Bolt,Fresa,Media,23/07/2023,679107701,25/07/2023,6961,47.45,31.79,330299.45,221290.19
A1007,Asia,China,Bebida Bolt,Uva,Baja,9/01/2022,695057189,23/01/2022,6795,51.2,31.79,347904,216013.05
A1008,America Del Sur,Chile,Bebida Bolt,Naranja,Critica,9/07/2022,707739102,15/07/2022,6661,38.78,31.79,258313.58,211753.19
A1009,America Del Sur,Colombia,Bebida Bolt,Nuevo Mango,Alta,7/02/2021,727281463,28/03/2021,6225,38.78,31.79,241405.5,197892.75
A101,Europa,Spain,Bebida Bolt,Nuevo Mango,Alta,11/01/2023,162745130,26/01/2023,8230,49.63,31.79,408454.9,261631.7
A1010,America Del Sur,Colombia,Bebida Bolt,Fresa,Baja,26/10/2022,731539952,27/10/2022,5858,38.78,31.79,227173.24,186225.82
A1011,America Del Norte,Canadá,Bebida Bolt,Naranja,Baja,15/03/2021,813131034,18/03/2021,4777,47.45,31.79,226668.65,151860.83
A1012,Centroamerica y Caribe,Saint Kitts and Nevis ,Bebida Bolt,Nuevo Mango,Alta,28/06/2021,814142549,1/08/2021,3872,49.63,31.79,192167.36,123090.88
A1013,Europa,Portugal,Bebida Bolt,Fresa,Media,23/07/2022,829201543,2/08/2022,3716,49.63,31.79,184425.08,118131.64
A1014,Europa,Austria,Bebida Bolt,Uva,Critica,23/07/2023,830754220,25/07/2023,4409,49.63,31.79,218818.67,140162.11
A1015,Centroamerica y Caribe,Guatemala,Bebida Bolt,Naranja,Critica,19/03/2021,838085019,7/04/2021,4199,49.63,31.79,208396.37,133486.21
A1016,Europa,Hungary,Bebida Bolt,Nuevo Mango,Baja,10/11/2022,852058255,15/11/2022,3987,49.63,31.79,197874.81,126746.73
A1017,Asia,Thailand,Bebida Bolt,Fresa,Baja,11/07/2023,868652760,25/08/2023,4025,51.2,31.79,206080,127954.75
A1018,Europa,Romania,Bebida Bolt,Naranja,Baja,10/10/2022,879757964,14/11/2022,4624,49.63,31.79,229489.12,146996.96
A1019,Europa,Poland,Bebida Bolt,Nuevo Mango,Critica,16/09/2022,890339171,27/10/2022,5399,49.63,31.79,267952.37,171634.21
A102,Africa,Malawi,Bebida Bolt,Nuevo Mango,Alta,12/09/2021,187923991,24/10/2021,920,35.7,31.79,32844,29246.8
A1020,Centroamerica y Caribe,Haiti,Bebida Bolt,Fresa,Baja,12/01/2023,892692220,26/01/2023,5382,49.63,31.79,267108.66,171093.78
A1021,America Del Sur,Argentina,Bebida Bolt,Naranja,Baja,10/02/2022,897720181,17/02/2022,4350,38.78,31.79,168693,138286.5
A1022,Asia,Uzbekistan,Bebida Bolt,Nuevo Mango,Critica,25/01/2023,914382064,21/02/2023,3336,51.2,31.79,170803.2,106051.44
A1023,Centroamerica y Caribe,Belize,Bebida Bolt,Fresa,Media,13/07/2023,917417895,15/07/2023,3000,49.63,31.79,148890,95370
A1024,America Del Sur,Argentina,Bebida Bolt,Uva,Baja,18/12/2022,927084577,1/01/2023,3043,38.78,31.79,118007.54,96736.97
A1025,Asia,Nepal,Bebida Bolt,Fresa,Baja,18/03/2021,938801753,29/03/2021,3545,51.2,31.79,181504,112695.55
A1026,America Del Norte,Canadá,Bebida Bolt,Uva,Media,26/10/2022,939389693,2/11/2022,4010,47.45,31.79,190274.5,127477.9
A1027,America Del Sur,Argentina,Bebida Bolt,Naranja,Media,6/02/2021,939460504,8/02/2021,4123,38.78,31.79,159889.94,131070.17
A1028,America Del Sur,Argentina,Bebida Bolt,Nuevo Mango,Alta,21/10/2021,940079343,2/12/2021,3682,38.78,31.79,142787.96,117050.78
A1029,America Del Sur,Argentina,Bebida Bolt,Fresa,Critica,19/07/2022,941685664,7/09/2022,3597,38.78,31.79,139491.66,114348.63
A103,Europa,Cyprus,Bebida Bolt,Fresa,Media,16/11/2021,193923556,27/11/2021,7710,49.63,31.79,382647.3,245100.9
A1030,Asia,Philippines,Bebida Bolt,Naranja,Critica,16/04/2021,945736443,7/05/2021,3520,51.2,31.79,180224,111900.8
A1031,Europa,Portugal,Bebida Bolt,Nuevo Mango,Media,13/05/2023,961049926,27/05/2023,3792,49.63,31.79,188196.96,120547.68
A1032,America Del Norte,Canada,Bebida Bolt,Nuevo Mango,Media,6/05/2023,967345178,16/06/2023,4678,47.45,31.79,221971.1,148713.62
A1033,America Del Sur,Colombia,Bebida Bolt,Nuevo Mango,Critica,27/09/2021,967977750,9/11/2021,5422,38.78,31.79,210265.16,172365.38
A1034,Asia,South Korea,Bebida Bolt,Nuevo Mango,Alta,13/02/2022,115831792,6/03/2022,4927,51.2,31.79,252262.4,156629.33
A1035,Europa,Sweden,Bebida Bolt,Fresa,Baja,15/05/2021,116113746,29/05/2021,4713,49.63,31.79,233906.19,149826.27
A1036,America Del Norte,Canadá,Bebida Bolt,Uva,Media,4/04/2023,121176040,19/04/2023,5057,47.45,31.79,239954.65,160762.03
A1037,America Del Norte,Canadá,Bebida Bolt,Naranja,Alta,11/09/2022,121239984,10/10/2022,5383,47.45,31.79,255423.35,171125.57
A1038,America Del Sur,Colombia,Bebida Bolt,Nuevo Mango,Baja,7/04/2021,128816258,8/04/2021,6358,38.78,31.79,246563.24,202120.82
A1039,Europa,Macedonia,Bebida Bolt,Fresa,Baja,5/03/2021,136167657,18/03/2021,7410,49.63,31.79,367758.3,235563.9
A104,Europa,Italy,Bebida Bolt,Uva,Baja,19/11/2022,200081908,19/11/2022,5966,49.63,31.79,296092.58,189659.14
A1040,America Del Sur,Paraguay,Bebida Bolt,Naranja,Critica,30/12/2021,144708669,30/01/2022,7892,38.78,31.79,306051.76,250886.68
A1041,Europa,Poland,Bebida Bolt,Nuevo Mango,Media,30/09/2021,146849286,20/10/2021,8126,49.63,31.79,403293.38,258325.54
A1042,Centroamerica y Caribe,Guatemala,Bebida Bolt,Fresa,Alta,12/08/2022,150160205,19/08/2022,7686,49.63,31.79,381456.18,244337.94
A1043,Asia,Indonesia,Bebida Bolt,Uva,Baja,20/07/2021,152694785,13/08/2021,7055,51.2,31.79,361216,224278.45
A1044,Asia,Taiwan,Bebida Bolt,Naranja,Media,8/06/2022,152819240,13/07/2022,6137,51.2,31.79,314214.4,195095.23
A1045,America Del Norte,Canadá,Bebida Bolt,Nuevo Mango,Alta,15/01/2023,156183803,22/02/2023,5054,47.45,31.79,239812.3,160666.66
A1046,Europa,Norway,Bebida Bolt,Fresa,Baja,10/04/2021,160264194,24/04/2021,4786,49.63,31.79,237529.18,152146.94
A1047,Europa,Germany,Bebida Bolt,Naranja,Media,1/05/2023,162745130,16/05/2023,4647,49.63,31.79,230630.61,147728.13
A1048,Centroamerica y Caribe,The Bahamas,Bebida Bolt,Nuevo Mango,Baja,31/12/2021,187923991,11/02/2022,4603,49.63,31.79,228446.89,146329.37
A1049,America Del Sur,Argentina,Bebida Bolt,Fresa,Media,6/03/2022,193923556,17/03/2022,4721,38.78,31.79,183080.38,150080.59
A105,Australia y Oceania,Fiji,Bebida Bolt,Naranja,Baja,7/09/2021,203154218,20/09/2021,6960,49.63,31.79,345424.8,221258.4
A1050,Asia,India,Bebida Bolt,Naranja,Alta,9/03/2023,200081908,9/03/2023,5479,51.2,31.79,280524.8,174177.41
A1051,Europa,Germany,Bebida Bolt,Nuevo Mango,Alta,26/12/2021,203154218,8/01/2022,6119,49.63,31.79,303685.97,194523.01
A1052,Europa,Greece,Bebida Bolt,Fresa,Media,1/10/2022,207990348,17/10/2022,7781,49.63,31.79,386171.03,247357.99
A1053,Europa,Georgia,Bebida Bolt,Uva,Alta,13/08/2022,211913239,24/08/2022,8081,49.63,31.79,401060.03,256894.99
A1054,Africa,Turkey,Bebida Bolt,Fresa,Alta,23/04/2022,246557939,11/06/2022,8170,35.7,31.79,291669,259724.3
A1055,Australia y Oceania,Papua New Guinea,Bebida Bolt,Uva,Alta,30/10/2022,271128261,2/12/2022,7320,49.63,31.79,363291.6,232702.8
A1056,Europa,Cyprus,Bebida Bolt,Naranja,Critica,2/03/2021,289702451,15/03/2021,7211,49.63,31.79,357881.93,229237.69
A1057,Asia,Taiwan,Bebida Bolt,Nuevo Mango,Critica,6/03/2021,305997836,6/04/2021,6789,51.2,31.79,347596.8,215822.31
A1058,Europa,Spain,Bebida Bolt,Fresa,Alta,7/06/2022,310959708,9/07/2022,6789,49.63,31.79,336938.07,215822.31
A1059,America Del Sur,Colombia,Bebida Bolt,Naranja,Alta,20/04/2023,314270627,9/05/2023,5494,38.78,31.79,213057.32,174654.26
A106,Europa,San Marino,Bebida Bolt,Nuevo Mango,Media,13/06/2022,207990348,29/06/2022,7730,49.63,31.79,383639.9,245736.7
A1060,Europa,Cyprus,Bebida Bolt,Nuevo Mango,Media,1/05/2022,335351932,10/06/2022,5325,49.63,31.79,264279.75,169281.75
A1061,Europa,Italy,Bebida Bolt,Nuevo Mango,Baja,29/03/2023,336541545,15/05/2023,5352,49.63,31.79,265619.76,170140.08
A1062,Australia y Oceania,Fiji,Bebida Bolt,Nuevo Mango,Baja,27/12/2022,345530164,4/01/2023,5763,49.63,31.79,286017.69,183205.77
A1063,Europa,San Marino,Bebida Bolt,Nuevo Mango,Media,24/03/2022,345889794,21/04/2022,5960,49.63,31.79,295794.8,189468.4
A1064,America Del Sur,Colombia,Bebida Bolt,Fresa,Alta,13/03/2023,351650750,5/04/2023,6338,38.78,31.79,245787.64,201485.02
A1065,America Del Sur,Argentina,Bebida Bolt,Uva,Media,21/05/2022,372393023,9/06/2022,7706,38.78,31.79,298838.68,244973.74
A1066,Asia,Brunei,Bebida Bolt,Fresa,Baja,4/10/2022,395414102,1/11/2022,7944,51.2,31.79,406732.8,252539.76
A1067,America Del Sur,Paraguay,Bebida Bolt,Naranja,Baja,19/11/2022,401447999,24/11/2022,6425,38.78,31.79,249161.5,204250.75
A1068,Europa,Switzerland,Bebida Bolt,Nuevo Mango,Alta,1/01/2021,422283828,21/01/2021,5135,49.63,31.79,254850.05,163241.65
A1069,Australia y Oceania,Tuvalu,Bebida Bolt,Nuevo Mango,Baja,16/06/2022,422620713,2/07/2022,4616,49.63,31.79,229092.08,146742.64
A107,America Del Sur,Chile,Bebida Bolt,Fresa,Alta,25/04/2022,211913239,6/05/2022,8076,38.78,31.79,313187.28,256736.04
A1070,Centroamerica y Caribe,Panama,Bebida Bolt,Nuevo Mango,Baja,7/11/2020,435887134,16/12/2020,4693,49.63,31.79,232913.59,149190.47
A1071,America Del Norte,Greenland,Bebida Bolt,Nuevo Mango,Critica,12/09/2022,469912993,19/10/2022,4779,47.45,31.79,226763.55,151924.41
A1072,Centroamerica y Caribe,Jamaica,Bebida Bolt,Fresa,Alta,19/10/2021,477304303,20/10/2021,4806,49.63,31.79,238521.78,152782.74
A1073,Europa,Belarus,Bebida Bolt,Uva,Alta,12/05/2021,494225394,21/06/2021,4521,49.63,31.79,224377.23,143722.59
A1074,America Del Sur,Argentina,Bebida Bolt,Naranja,Media,5/01/2023,506900441,5/01/2023,4431,38.78,31.79,171834.18,140861.49
A1075,Europa,Switzerland,Bebida Bolt,Nuevo Mango,Baja,18/10/2022,516876542,18/11/2022,4274,49.63,31.79,212118.62,135870.46
A1076,America Del Sur,Argentina,Bebida Bolt,Fresa,Media,31/01/2022,521885192,16/02/2022,4228,38.78,31.79,163961.84,134408.12
A1077,Europa,Italy,Bebida Bolt,Naranja,Alta,8/06/2022,526523911,13/07/2022,4542,49.63,31.79,225419.46,144390.18
A1078,Europa,Finland,Bebida Bolt,Nuevo Mango,Critica,25/08/2021,536287581,24/09/2021,4891,49.63,31.79,242740.33,155484.89
A1079,America Del Norte,Mexico,Bebida Bolt,Fresa,Media,10/12/2020,540352094,25/12/2020,3968,47.45,31.79,188281.6,126142.72
A108,America Del Sur,Argentina,Bebida Bolt,Naranja,Media,3/01/2022,246557939,21/02/2022,4761,38.78,31.79,184631.58,151352.19
A1080,Asia,Japan,Bebida Bolt,Uva,Media,13/09/2022,540324628,22/10/2022,4217,51.2,31.79,215910.4,134058.43
A1081,America Del Sur,Colombia,Bebida Bolt,Naranja,Baja,11/09/2021,562583100,21/10/2021,4953,38.78,31.79,192077.34,157455.87
