ID;Zona;Pais;Tipo de producto;Sabor;Prioridad;Fecha pedido;ID Pedido;Fecha envio;Unidades; Precio Unitario ; Coste unitario ; Importe venta total ; Importe Coste total 
A035;America Del Norte;Mexico;Bebida Bolt;Nuevo Mango;Media;22/07/2022;401447999;27/07/2022;6239;47.45;31.79;296040.55;198337.81
A036;Asia;Japan;Bebida Bolt;Fresa;Media;3/09/2020;422283828;23/09/2020;2024;47.45;31.79;96038.8;64342.96
A037;America Del Sur;Argentina;Bebida Bolt;Uva;Baja;16/02/2022;422620713;4/03/2022;1715;47.45;31.79;81376.75;54519.85
A038;America Del Sur;Argentina;Bebida Bolt;Naranja;Baja;10/07/2020;435887134;18/08/2020;7544;47.45;31.79;357962.8;239823.76
A039;Europa;Romania;Bebida Bolt;Nuevo Mango;Alta;15/05/2022;469912993;21/06/2022;6552;47.45;31.79;310892.4;208288.08
A040;America Del Sur;Argentina;Bebida Bolt;Fresa;Media;21/06/2021;477304303;22/06/2021;3805;47.45;31.79;180547.25;120960.95
A041;Centroamerica y Caribe;Costa Rica;Bebida Bolt;Fresa;Baja;12/01/2021;494225394;21/02/2021;1132;47.45;31.79;53713.4;35986.28
A042;America Del Norte;Estados Unidos;Bebida Bolt;Naranja;Alta;7/09/2022;506900441;7/09/2022;1960;47.45;31.79;93002;62308.4
A043;Centroamerica y Caribe;Grenada;Bebida Bolt;Nuevo Mango;Baja;20/06/2022;516876542;21/07/2022;4110;47.45;31.79;195019.5;130656.9
A044;America Del Sur;Colombia;Bebida Bolt;Fresa;Critica;3/10/2021;521885192;19/10/2021;6281;47.45;31.79;298033.45;199672.99
A045;Europa;Austria;Bebida Bolt;Uva;Media;8/02/2022;526523911;15/03/2022;8981;47.45;31.79;426148.45;285505.99
A046;Africa;Iraq;Bebida Bolt;Fresa;Alta;27/04/2021;536287581;27/05/2021;2940;47.45;31.79;392316.6;262839.72
A047;Europa;Liechtenstein;Bebida Bolt;Uva;Media;12/08/2020;540352094;27/08/2020;1047;47.45;31.79;49680.15;33284.13
A048;Europa;Spain;Bebida Bolt;Naranja;Alta;16/05/2022;540324628;24/06/2022;2919;47.45;31.79;138506.55;92795.01
A049;America Del Norte;Estados Unidos;Bebida Bolt;Nuevo Mango;Media;14/05/2021;562583100;23/06/2021;9696;47.45;31.79;460075.2;308235.84
A050;Asia;China;Bebida Bolt;Fresa;Baja;27/05/2022;565477311;21/06/2022;6157;47.45;31.79;292149.65;195731.03
A051;America Del Sur;Argentina;Bebida Bolt;Naranja;Critica;18/10/2020;572249782;18/10/2020;282;47.45;31.79;13380.9;8964.78
A052;America Del Sur;Argentina;Bebida Bolt;Nuevo Mango;Alta;14/09/2020;574051368;28/09/2020;3411;47.45;31.79;161851.95;108435.69
A053;Africa;Mozambique;Bebida Bolt;Nuevo Mango;Baja;24/04/2021;579580581;11/05/2021;96;47.45;31.79;456848.6;306074.12
A054;Australia y Oceania;Australia;Bebida Bolt;Nuevo Mango;Baja;8/08/2021;583977258;22/09/2021;703;47.45;31.79;33357.35;22348.37
A055;Centroamerica y Caribe;Saint Kitts and Nevis ;Bebida Bolt;Nuevo Mango;Alta;18/01/2022;623535764;29/01/2022;6944;47.45;31.79;329492.8;220749.76
A056;Europa;Portugal;Bebida Bolt;Fresa;Media;22/03/2023;632386195;11/05/2023;5983;47.45;31.79;283893.35;190199.57
A057;Europa;Austria;Bebida Bolt;Uva;Critica;28/06/2022;632866847;12/07/2022;8219;47.45;31.79;389991.55;261282.01
A058;Centroamerica y Caribe;Guatemala;Bebida Bolt;Naranja;Critica;25/12/2020;643387544;17/01/2021;1527;47.45;31.79;72456.15;48543.33
A059;Europa;Hungary;Bebida Bolt;Nuevo Mango;Baja;23/12/2021;670916020;30/12/2021;7815;47.45;31.79;370821.75;248438.85
A060;Asia;Thailand;Bebida Bolt;Fresa;Baja;4/04/2023;679107701;6/04/2023;1915;47.45;31.79;90866.75;60877.85
A061;Europa;Romania;Bebida Bolt;Uva;Baja;21/09/2021;695057189;5/10/2021;1723;47.45;31.79;81756.35;54774.17
A062;Europa;Poland;Bebida Bolt;Naranja;Critica;21/03/2022;707739102;27/03/2022;4583;47.45;31.79;217463.35;145693.57
A063;Centroamerica y Caribe;Haiti;Bebida Bolt;Nuevo Mango;Baja;20/10/2020;727281463;8/12/2020;7601;47.45;31.79;360667.45;241635.79
A064;America Del Sur;Paraguay;Bebida Bolt;Fresa;Baja;8/07/2022;731539952;9/07/2022;7783;47.45;31.79;369303.35;247421.57
A065;Asia;Uzbekistan;Bebida Bolt;Naranja;Critica;25/11/2020;813131034;28/11/2020;2397;47.45;31.79;113737.65;76200.63
A066;Centroamerica y Caribe;Belize;Bebida Bolt;Nuevo Mango;Media;10/03/2021;814142549;13/04/2021;1727;47.45;31.79;81946.15;54901.33
A067;America Del Sur;Bolivia;Bebida Bolt;Nuevo Mango;Baja;4/04/2022;829201543;14/04/2022;8018;47.45;31.79;380454.1;254892.22
A068;Asia;Nepal;Bebida Bolt;Nuevo Mango;Baja;4/04/2023;830754220;6/04/2023;7490;47.45;31.79;355400.5;238107.1
A069;America Del Norte;Estados Unidos;Bebida Bolt;Nuevo Mango;Media;29/11/2020;838085019;18/12/2020;6836;47.45;31.79;324368.2;217316.44
A070;America Del Sur;Argentina;Bebida Bolt;Fresa;Media;23/07/2022;852058255;28/07/2022;1827;47.45;31.79;86691.15;58080.33
A071;America Del Sur;Argentina;Bebida Bolt;Uva;Alta;23/03/2023;868652760;7/05/2023;2510;47.45;31.79;119099.5;79792.9
A072;Africa;Angola;Bebida Bolt;Naranja;Critica;22/06/2022;879757964;27/07/2022;878;47.45;31.79;416943.15;279338.73
A073;Asia;Philippines;Bebida Bolt;Nuevo Mango;Critica;29/05/2022;890339171;9/07/2022;1;47.45;31.79;47.45;31.79
A074;Europa;Portugal;Bebida Bolt;Fresa;Media;24/09/2022;892692220;8/10/2022;6320;47.45;31.79;299884;200912.8
A075;America Del Norte;Canada;Bebida Bolt;Uva;Media;23/10/2021;897720181;30/10/2021;4206;47.45;31.79;199574.7;133708.74
A076;America Del Sur;Colombia;Bebida Bolt;Naranja;Critica;7/10/2022;914382064;3/11/2022;4827;47.45;31.79;229041.15;153450.33
A077;Asia;South Korea;Bebida Bolt;Nuevo Mango;Alta;25/03/2023;917417895;27/03/2023;3197;47.45;31.79;151697.65;101632.63
A078;Europa;Sweden;Bebida Bolt;Fresa;Baja;30/08/2022;927084577;13/09/2022;3783;47.45;31.79;179503.35;120261.57
A079;America Del Norte;Estados Unidos;Bebida Bolt;Naranja;Media;28/11/2020;938801753;9/12/2020;1156;47.45;31.79;54852.2;36749.24
A080;America Del Norte;Estados Unidos;Bebida Bolt;Nuevo Mango;Alta;8/07/2022;939389693;15/07/2022;5140;47.45;31.79;243893;163400.6
A081;America Del Sur;Colombia;Bebida Bolt;Fresa;Baja;19/10/2020;939460504;21/10/2020;6095;47.45;31.79;289207.75;193760.05
A082;Europa;Spain;Bebida Bolt;Uva;Baja;3/07/2021;940079343;14/08/2021;9223;47.45;31.79;437631.35;293199.17
A083;America Del Sur;Argentina;Bebida Bolt;Naranja;Critica;31/03/2022;941685664;20/05/2022;4569;47.45;31.79;216799.05;145248.51
A084;Europa;Poland;Bebida Bolt;Nuevo Mango;Media;27/12/2020;945736443;17/01/2021;3285;47.45;31.79;155873.25;104430.15
A085;Centroamerica y Caribe;Guatemala;Bebida Bolt;Fresa;Alta;23/01/2023;961049926;6/02/2023;4885;47.45;31.79;231793.25;155294.15
A086;Asia;Indonesia;Bebida Bolt;Naranja;Baja;16/01/2023;967345178;26/02/2023;7789;47.45;31.79;369588.05;247612.31
A087;Asia;Taiwan;Bebida Bolt;Nuevo Mango;Media;9/06/2021;967977750;22/07/2021;4982;47.45;31.79;236395.9;158377.78
A088;America Del Norte;Estados Unidos;Bebida Bolt;Fresa;Alta;26/10/2021;115831792;16/11/2021;7516;47.45;31.79;356634.2;238933.64
A089;Europa;Norway;Bebida Bolt;Naranja;Baja;25/01/2021;116113746;8/02/2021;9467;47.45;31.79;449209.15;300955.93
A090;Europa;Germany;Bebida Bolt;Nuevo Mango;Media;15/12/2022;121176040;30/12/2022;7864;47.45;31.79;373146.8;249996.56
A091;Centroamerica y Caribe;The Bahamas;Bebida Bolt;Fresa;Baja;24/05/2022;121239984;22/06/2022;7252;47.45;31.79;344107.4;230541.08
A092;Africa;Liberia;Bebida Bolt;Uva;Media;18/12/2020;128816258;19/12/2020;842;47.45;31.79;400525.45;268339.39
A093;Asia;India;Bebida Bolt;Fresa;Alta;15/11/2020;136167657;28/11/2020;7415;47.45;31.79;351841.75;235722.85
A094;Europa;Germany;Bebida Bolt;Uva;Alta;11/09/2021;144708669;12/10/2021;3672;47.45;31.79;174236.4;116732.88
A095;Europa;Greece;Bebida Bolt;Naranja;Media;12/06/2021;146849286;2/07/2021;4672;47.45;31.79;221686.4;148522.88
A096;Europa;Georgia;Bebida Bolt;Nuevo Mango;Alta;24/04/2022;150160205;1/05/2022;4813;47.45;31.79;228376.85;153005.27
A097;America Del Sur;Argentina;Bebida Bolt;Fresa;Alta;1/04/2021;152694785;25/04/2021;4628;47.45;31.79;219598.6;147124.12
A098;Australia y Oceania;Papua New Guinea;Bebida Bolt;Naranja;Alta;18/02/2022;152819240;25/03/2022;3936;47.45;31.79;186763.2;125125.44
A099;Europa;Cyprus;Bebida Bolt;Nuevo Mango;Critica;27/09/2022;156183803;4/11/2022;4282;47.45;31.79;203180.9;136124.78
A100;Asia;Taiwan;Bebida Bolt;Nuevo Mango;Critica;21/12/2020;160264194;4/01/2021;5743;47.45;31.79;272505.35;182569.97
A1000;Centroamerica y Caribe;Grenada;Bebida Bolt;Fresa;Baja;26/11/2021;583977258;10/01/2022;5440;47.45;31.79;258128;172937.6
A1001;America Del Sur;Colombia;Bebida Bolt;Naranja;Critica;8/05/2022;623535764;19/05/2022;5415;47.45;31.79;256941.75;172142.85
A1002;Europa;Austria;Bebida Bolt;Nuevo Mango;Media;10/07/2023;632386195;29/08/2023;5519;47.45;31.79;261876.55;175449.01
A1003;America Del Sur;Colombia;Bebida Bolt;Nuevo Mango;Alta;16/10/2022;632866847;30/10/2022;5655;47.45;31.79;268329.75;179772.45
A1004;Europa;Liechtenstein;Bebida Bolt;Nuevo Mango;Media;14/04/2021;643387544;7/05/2021;6640;47.45;31.79;315068;211085.6
A1005;Europa;Spain;Bebida Bolt;Nuevo Mango;Alta;12/04/2022;670916020;19/04/2022;6941;47.45;31.79;329350.45;220654.39
A1006;America Del Norte;Canadá;Bebida Bolt;Fresa;Media;23/07/2023;679107701;25/07/2023;6961;47.45;31.79;330299.45;221290.19
A1007;Asia;China;Bebida Bolt;Uva;Baja;9/01/2022;695057189;23/01/2022;6795;47.45;31.79;322422.75;216013.05
A1008;America Del Sur;Chile;Bebida Bolt;Naranja;Critica;9/07/2022;707739102;15/07/2022;6661;47.45;31.79;316064.45;211753.19
A1009;America Del Sur;Colombia;Bebida Bolt;Nuevo Mango;Alta;7/02/2021;727281463;28/03/2021;6225;47.45;31.79;295376.25;197892.75
A101;Europa;Spain;Bebida Bolt;Nuevo Mango;Alta;11/01/2023;162745130;26/01/2023;8230;47.45;31.79;390513.5;261631.7
A1010;America Del Sur;Colombia;Bebida Bolt;Fresa;Baja;26/10/2022;731539952;27/10/2022;5858;47.45;31.79;277962.1;186225.82
A1011;America Del Norte;Canadá;Bebida Bolt;Naranja;Baja;15/03/2021;813131034;18/03/2021;4777;47.45;31.79;226668.65;151860.83
A1012;Centroamerica y Caribe;Saint Kitts and Nevis ;Bebida Bolt;Nuevo Mango;Alta;28/06/2021;814142549;1/08/2021;3872;47.45;31.79;183726.4;123090.88
A1013;Europa;Portugal;Bebida Bolt;Fresa;Media;23/07/2022;829201543;2/08/2022;3716;47.45;31.79;176324.2;118131.64
A1014;Europa;Austria;Bebida Bolt;Uva;Critica;23/07/2023;830754220;25/07/2023;4409;47.45;31.79;209207.05;140162.11
A1015;Centroamerica y Caribe;Guatemala;Bebida Bolt;Naranja;Critica;19/03/2021;838085019;7/04/2021;4199;47.45;31.79;199242.55;133486.21
A1016;Europa;Hungary;Bebida Bolt;Nuevo Mango;Baja;10/11/2022;852058255;15/11/2022;3987;47.45;31.79;189183.15;126746.73
A1017;Asia;Thailand;Bebida Bolt;Fresa;Baja;11/07/2023;868652760;25/08/2023;4025;47.45;31.79;190986.25;127954.75
A1018;Europa;Romania;Bebida Bolt;Naranja;Baja;10/10/2022;879757964;14/11/2022;4624;47.45;31.79;219408.8;146996.96
A1019;Europa;Poland;Bebida Bolt;Nuevo Mango;Critica;16/09/2022;890339171;27/10/2022;5399;47.45;31.79;256182.55;171634.21
A102;Africa;Malawi;Bebida Bolt;Nuevo Mango;Alta;12/09/2021;187923991;24/10/2021;920;47.45;31.79;436587.45;292499.79
A1020;Centroamerica y Caribe;Haiti;Bebida Bolt;Fresa;Baja;12/01/2023;892692220;26/01/2023;5382;47.45;31.79;255375.9;171093.78
A1021;America Del Sur;Argentina;Bebida Bolt;Naranja;Baja;10/02/2022;897720181;17/02/2022;4350;47.45;31.79;206407.5;138286.5
A1022;Asia;Uzbekistan;Bebida Bolt;Nuevo Mango;Critica;25/01/2023;914382064;21/02/2023;3336;47.45;31.79;158293.2;106051.44
A1023;Centroamerica y Caribe;Belize;Bebida Bolt;Fresa;Media;13/07/2023;917417895;15/07/2023;3000;47.45;31.79;142350;95370
A1024;America Del Sur;Argentina;Bebida Bolt;Uva;Baja;18/12/2022;927084577;1/01/2023;3043;47.45;31.79;144390.35;96736.97
A1025;Asia;Nepal;Bebida Bolt;Fresa;Baja;18/03/2021;938801753;29/03/2021;3545;47.45;31.79;168210.25;112695.55
A1026;America Del Norte;Canadá;Bebida Bolt;Uva;Media;26/10/2022;939389693;2/11/2022;4010;47.45;31.79;190274.5;127477.9
A1027;America Del Sur;Argentina;Bebida Bolt;Naranja;Media;6/02/2021;939460504;8/02/2021;4123;47.45;31.79;195636.35;131070.17
A1028;America Del Sur;Argentina;Bebida Bolt;Nuevo Mango;Alta;21/10/2021;940079343;2/12/2021;3682;47.45;31.79;174710.9;117050.78
A1029;America Del Sur;Argentina;Bebida Bolt;Fresa;Critica;19/07/2022;941685664;7/09/2022;3597;47.45;31.79;170677.65;114348.63
A103;Europa;Cyprus;Bebida Bolt;Fresa;Media;16/11/2021;193923556;27/11/2021;7710;47.45;31.79;365839.5;245100.9
A1030;Asia;Philippines;Bebida Bolt;Naranja;Critica;16/04/2021;945736443;7/05/2021;3520;47.45;31.79;167024;111900.8
A1031;Europa;Portugal;Bebida Bolt;Nuevo Mango;Media;13/05/2023;961049926;27/05/2023;3792;47.45;31.79;179930.4;120547.68
A1032;America Del Norte;Canada;Bebida Bolt;Nuevo Mango;Media;6/05/2023;967345178;16/06/2023;4678;47.45;31.79;221971.1;148713.62
A1033;America Del Sur;Colombia;Bebida Bolt;Nuevo Mango;Critica;27/09/2021;967977750;9/11/2021;5422;47.45;31.79;257273.9;172365.38
A1034;Asia;South Korea;Bebida Bolt;Nuevo Mango;Alta;13/02/2022;115831792;6/03/2022;4927;47.45;31.79;233786.15;156629.33
A1035;Europa;Sweden;Bebida Bolt;Fresa;Baja;15/05/2021;116113746;29/05/2021;4713;47.45;31.79;223631.85;149826.27
A1036;America Del Norte;Canadá;Bebida Bolt;Uva;Media;4/04/2023;121176040;19/04/2023;5057;47.45;31.79;239954.65;160762.03
A1037;America Del Norte;Canadá;Bebida Bolt;Naranja;Alta;11/09/2022;121239984;10/10/2022;5383;47.45;31.79;255423.35;171125.57
A1038;America Del Sur;Colombia;Bebida Bolt;Nuevo Mango;Baja;7/04/2021;128816258;8/04/2021;6358;47.45;31.79;301687.1;202120.82
A1039;Europa;Macedonia;Bebida Bolt;Fresa;Baja;5/03/2021;136167657;18/03/2021;7410;47.45;31.79;351604.5;235563.9
A104;Europa;Italy;Bebida Bolt;Uva;Baja;19/11/2022;200081908;19/11/2022;5966;47.45;31.79;283086.7;189659.14
A1040;America Del Sur;Paraguay;Bebida Bolt;Naranja;Critica;30/12/2021;144708669;30/01/2022;7892;47.45;31.79;374475.4;250886.68
A1041;Europa;Poland;Bebida Bolt;Nuevo Mango;Media;30/09/2021;146849286;20/10/2021;8126;47.45;31.79;385578.7;258325.54
A1042;Centroamerica y Caribe;Guatemala;Bebida Bolt;Fresa;Alta;12/08/2022;150160205;19/08/2022;7686;47.45;31.79;364700.7;244337.94
A1043;Asia;Indonesia;Bebida Bolt;Uva;Baja;20/07/2021;152694785;13/08/2021;7055;47.45;31.79;334759.75;224278.45
A1044;Asia;Taiwan;Bebida Bolt;Naranja;Media;8/06/2022;152819240;13/07/2022;6137;47.45;31.79;291200.65;195095.23
A1045;America Del Norte;Canadá;Bebida Bolt;Nuevo Mango;Alta;15/01/2023;156183803;22/02/2023;5054;47.45;31.79;239812.3;160666.66
A1046;Europa;Norway;Bebida Bolt;Fresa;Baja;10/04/2021;160264194;24/04/2021;4786;47.45;31.79;227095.7;152146.94
A1047;Europa;Germany;Bebida Bolt;Naranja;Media;1/05/2023;162745130;16/05/2023;4647;47.45;31.79;220500.15;147728.13
A1048;Centroamerica y Caribe;The Bahamas;Bebida Bolt;Nuevo Mango;Baja;31/12/2021;187923991;11/02/2022;4603;47.45;31.79;218412.35;146329.37
A1049;America Del Sur;Argentina;Bebida Bolt;Fresa;Media;6/03/2022;193923556;17/03/2022;4721;47.45;31.79;224011.45;150080.59
A105;Australia y Oceania;Fiji;Bebida Bolt;Naranja;Baja;7/09/2021;203154218;20/09/2021;6960;47.45;31.79;330252;221258.4
A1050;Asia;India;Bebida Bolt;Naranja;Alta;9/03/2023;200081908;9/03/2023;5479;47.45;31.79;259978.55;174177.41
A1051;Europa;Germany;Bebida Bolt;Nuevo Mango;Alta;26/12/2021;203154218;8/01/2022;6119;47.45;31.79;290346.55;194523.01
A1052;Europa;Greece;Bebida Bolt;Fresa;Media;1/10/2022;207990348;17/10/2022;7781;47.45;31.79;369208.45;247357.99
A1053;Europa;Georgia;Bebida Bolt;Uva;Alta;13/08/2022;211913239;24/08/2022;8081;47.45;31.79;383443.45;256894.99
A1054;Africa;Turkey;Bebida Bolt;Fresa;Alta;23/04/2022;246557939;11/06/2022;8170;47.45;31.79;387666.5;259724.3
A1055;Australia y Oceania;Papua New Guinea;Bebida Bolt;Uva;Alta;30/10/2022;271128261;2/12/2022;7320;47.45;31.79;347334;232702.8
A1056;Europa;Cyprus;Bebida Bolt;Naranja;Critica;2/03/2021;289702451;15/03/2021;7211;47.45;31.79;342161.95;229237.69
A1057;Asia;Taiwan;Bebida Bolt;Nuevo Mango;Critica;6/03/2021;305997836;6/04/2021;6789;47.45;31.79;322138.05;215822.31
A1058;Europa;Spain;Bebida Bolt;Fresa;Alta;7/06/2022;310959708;9/07/2022;6789;47.45;31.79;322138.05;215822.31
A1059;America Del Sur;Colombia;Bebida Bolt;Naranja;Alta;20/04/2023;314270627;9/05/2023;5494;47.45;31.79;260690.3;174654.26
A106;Europa;San Marino;Bebida Bolt;Nuevo Mango;Media;13/06/2022;207990348;29/06/2022;7730;47.45;31.79;366788.5;245736.7
A1060;Europa;Cyprus;Bebida Bolt;Nuevo Mango;Media;1/05/2022;335351932;10/06/2022;5325;47.45;31.79;252671.25;169281.75
A1061;Europa;Italy;Bebida Bolt;Nuevo Mango;Baja;29/03/2023;336541545;15/05/2023;5352;47.45;31.79;253952.4;170140.08
A1062;Australia y Oceania;Fiji;Bebida Bolt;Nuevo Mango;Baja;27/12/2022;345530164;4/01/2023;5763;47.45;31.79;273454.35;183205.77
A1063;Europa;San Marino;Bebida Bolt;Nuevo Mango;Media;24/03/2022;345889794;21/04/2022;5960;47.45;31.79;282802;189468.4
A1064;America Del Sur;Colombia;Bebida Bolt;Fresa;Alta;13/03/2023;351650750;5/04/2023;6338;47.45;31.79;300738.1;201485.02
A1065;America Del Sur;Argentina;Bebida Bolt;Uva;Media;21/05/2022;372393023;9/06/2022;7706;47.45;31.79;365649.7;244973.74
A1066;Asia;Brunei;Bebida Bolt;Fresa;Baja;4/10/2022;395414102;1/11/2022;7944;47.45;31.79;376942.8;252539.76
A1067;America Del Sur;Paraguay;Bebida Bolt;Naranja;Baja;19/11/2022;401447999;24/11/2022;6425;47.45;31.79;304866.25;204250.75
A1068;Europa;Switzerland;Bebida Bolt;Nuevo Mango;Alta;1/01/2021;422283828;21/01/2021;5135;47.45;31.79;243655.75;163241.65
A1069;Australia y Oceania;Tuvalu;Bebida Bolt;Nuevo Mango;Baja;16/06/2022;422620713;2/07/2022;4616;47.45;31.79;219029.2;146742.64
A107;America Del Sur;Chile;Bebida Bolt;Fresa;Alta;25/04/2022;211913239;6/05/2022;8076;47.45;31.79;383206.2;256736.04
A1070;Centroamerica y Caribe;Panama;Bebida Bolt;Nuevo Mango;Baja;7/11/2020;435887134;16/12/2020;4693;47.45;31.79;222682.85;149190.47
A1071;America Del Norte;Greenland;Bebida Bolt;Nuevo Mango;Critica;12/09/2022;469912993;19/10/2022;4779;47.45;31.79;226763.55;151924.41
A1072;Centroamerica y Caribe;Jamaica;Bebida Bolt;Fresa;Alta;19/10/2021;477304303;20/10/2021;4806;47.45;31.79;228044.7;152782.74
A1073;Europa;Belarus;Bebida Bolt;Uva;Alta;12/05/2021;494225394;21/06/2021;4521;47.45;31.79;214521.45;143722.59
A1074;America Del Sur;Argentina;Bebida Bolt;Naranja;Media;5/01/2023;506900441;5/01/2023;4431;47.45;31.79;210250.95;140861.49
A1075;Europa;Switzerland;Bebida Bolt;Nuevo Mango;Baja;18/10/2022;516876542;18/11/2022;4274;47.45;31.79;202801.3;135870.46
A1076;America Del Sur;Argentina;Bebida Bolt;Fresa;Media;31/01/2022;521885192;16/02/2022;4228;47.45;31.79;200618.6;134408.12
A1077;Europa;Italy;Bebida Bolt;Naranja;Alta;8/06/2022;526523911;13/07/2022;4542;47.45;31.79;215517.9;144390.18
A1078;Europa;Finland;Bebida Bolt;Nuevo Mango;Critica;25/08/2021;536287581;24/09/2021;4891;47.45;31.79;232077.95;155484.89
A1079;America Del Norte;Mexico;Bebida Bolt;Fresa;Media;10/12/2020;540352094;25/12/2020;3968;47.45;31.79;188281.6;126142.72
A108;America Del Sur;Argentina;Bebida Bolt;Naranja;Media;3/01/2022;246557939;21/02/2022;4761;47.45;31.79;225909.45;151352.19
A1080;Asia;Japan;Bebida Bolt;Uva;Media;13/09/2022;540324628;22/10/2022;4217;47.45;31.79;200096.65;134058.43
A1081;America Del Sur;Colombia;Bebida Bolt;Naranja;Baja;11/09/2021;562583100;21/10/2021;4953;47.45;31.79;235019.85;157455.87
