ID,Zona,País,Tipo de producto,Sabor,Prioridad,Fecha pedido,ID Pedido,Fecha envío,Unidades, Precio Unitario , Coste unitario , Importe venta total , Importe Coste total 
A070,África,Swaziland,Bebida Bolt,Fresa,Media,23/07/2022,852058255,28/07/2022,1827,47.45,31.79,86691.15,58080.33
A071,África,Rwanda,Bebida Bolt,Uva,Alta,23/03/2023,868652760,7/05/2023,2510,47.45,31.79,119099.5,79792.9
A072,África,Angola,Bebida Bolt,Naranja,Crítica,22/06/2022,879757964,27/07/2022,8787,47.45,31.79,416943.15,279338.73
A073,Asia,Philippines,Bebida Bolt,Nuevo Mango,Crítica,29/05/2022,890339171,9/07/2022,1,47.45,31.79,47.45,31.79
A074,Europa,Portugal,Bebida Bolt,Fresa,Media,24/09/2022,892692220,8/10/2022,6320,47.45,31.79,299884,200912.8
A075,Norteamérica,Canada,Bebida Bolt,Uva,Media,23/10/2021,897720181,30/10/2021,4206,47.45,31.79,199574.7,133708.74
A076,África,Niger,Bebida Bolt,Naranja,Crítica,7/10/2022,914382064,3/11/2022,4827,47.45,31.79,229041.15,153450.33
A077,Asia,South Korea,Bebida Bolt,Nuevo Mango,Alta,25/03/2023,917417895,27/03/2023,3197,47.45,31.79,151697.65,101632.63
A078,Europa,Sweden,Bebida Bolt,Fresa,Baja,30/08/2022,927084577,13/09/2022,3783,47.45,31.79,179503.35,120261.57
A079,África,Cote d'Ivoire,Bebida Bolt,Naranja,Media,28/11/2020,938801753,9/12/2020,1156,47.45,31.79,54852.2,36749.24
A080,Europa,Estonia,Bebida Bolt,Nuevo Mango,Alta,8/07/2022,939389693,15/07/2022,5140,47.45,31.79,243893,163400.6
A081,África,Liberia,Bebida Bolt,Fresa,Baja,19/10/2020,939460504,21/10/2020,6095,47.45,31.79,289207.75,193760.05
A082,Europa,Macedonia,Bebida Bolt,Uva,Baja,3/07/2021,940079343,14/08/2021,9223,47.45,31.79,437631.35,293199.17
A083,África,Cape Verde,Bebida Bolt,Naranja,Crítica,31/03/2022,941685664,20/05/2022,4569,47.45,31.79,216799.05,145248.51
A084,Europa,Poland,Bebida Bolt,Nuevo Mango,Media,27/12/2020,945736443,17/01/2021,3285,47.45,31.79,155873.25,104430.15
A085,Centroamérica y Caribe,Guatemala,Bebida Bolt,Fresa,Alta,23/01/2023,961049926,6/02/2023,4885,47.45,31.79,231793.25,155294.15
A086,Asia,Indonesia,Bebida Bolt,Naranja,Baja,16/01/2023,967345178,26/02/2023,7789,47.45,31.79,369588.05,247612.31
A087,Asia,Taiwan,Bebida Bolt,Nuevo Mango,Media,9/06/2021,967977750,22/07/2021,4982,47.45,31.79,236395.9,158377.78
A088,Australia y Oceanía,East Timor,Bebida Bolt,Fresa,Alta,26/10/2021,115831792,16/11/2021,7516,47.45,31.79,356634.2,238933.64
A089,Europa,Norway,Bebida Bolt,Naranja,Baja,25/01/2021,116113746,8/02/2021,9467,47.45,31.79,449209.15,300955.93
A090,Europa,Germany,Bebida Bolt,Nuevo Mango,Media,15/12/2022,121176040,30/12/2022,7864,47.45,31.79,373146.8,249996.56
A091,Centroamérica y Caribe,The Bahamas,Bebida Bolt,Fresa,Baja,24/05/2022,121239984,22/06/2022,7252,47.45,31.79,344107.4,230541.08
A092,África,Liberia,Bebida Bolt,Uva,Media,18/12/2020,128816258,19/12/2020,8441,47.45,31.79,400525.45,268339.39
A093,Asia,India,Bebida Bolt,Fresa,Alta,15/11/2020,136167657,28/11/2020,7415,47.45,31.79,351841.75,235722.85
A094,Europa,Germany,Bebida Bolt,Uva,Alta,11/09/2021,144708669,12/10/2021,3672,47.45,31.79,174236.4,116732.88
A095,Europa,Greece,Bebida Bolt,Naranja,Media,12/06/2021,146849286,2/07/2021,4672,47.45,31.79,221686.4,148522.88
A096,Europa,Georgia,Bebida Bolt,Nuevo Mango,Alta,24/04/2022,150160205,1/05/2022,4813,47.45,31.79,228376.85,153005.27
A097,África,Turkey,Bebida Bolt,Fresa,Alta,1/04/2021,152694785,25/04/2021,4628,47.45,31.79,219598.6,147124.12
A098,Australia y Oceanía,Papua New Guinea,Bebida Bolt,Naranja,Alta,18/02/2022,152819240,25/03/2022,3936,47.45,31.79,186763.2,125125.44
A099,Europa,Cyprus,Bebida Bolt,Nuevo Mango,Crítica,27/09/2022,156183803,4/11/2022,4282,47.45,31.79,203180.9,136124.78
A100,Asia,Taiwan,Bebida Bolt,Nuevo Mango,Crítica,21/12/2020,160264194,4/01/2021,5743,47.45,31.79,272505.35,182569.97
A101,Australia y Oceanía,Solomon Islands,Bebida Bolt,Nuevo Mango,Alta,11/01/2023,162745130,26/01/2023,8230,47.45,31.79,390513.5,261631.7
A102,África,Malawi,Bebida Bolt,Nuevo Mango,Alta,12/09/2021,187923991,24/10/2021,9201,47.45,31.79,436587.45,292499.79
A103,Europa,Cyprus,Bebida Bolt,Fresa,Media,16/11/2021,193923556,27/11/2021,7710,47.45,31.79,365839.5,245100.9
A104,Europa,Italy,Bebida Bolt,Uva,Baja,19/11/2022,200081908,19/11/2022,5966,47.45,31.79,283086.7,189659.14
A105,Australia y Oceanía,Fiji,Bebida Bolt,Naranja,Baja,7/09/2021,203154218,20/09/2021,6960,47.45,31.79,330252,221258.4
A106,Europa,San Marino,Bebida Bolt,Nuevo Mango,Media,13/06/2022,207990348,29/06/2022,7730,47.45,31.79,366788.5,245736.7
A107,África,Senegal,Bebida Bolt,Fresa,Alta,25/04/2022,211913239,6/05/2022,8076,47.45,31.79,383206.2,256736.04
A108,África,Azerbaijan,Bebida Bolt,Naranja,Media,3/01/2022,246557939,21/02/2022,4761,47.45,31.79,225909.45,151352.19
A109,Asia,Brunei,Bebida Bolt,Nuevo Mango,Baja,12/07/2022,271128261,14/08/2022,1681,47.45,31.79,79763.45,53438.99
A110,África,Saudi Arabia,Bebida Bolt,Fresa,Baja,12/11/2020,289702451,25/11/2020,5117,47.45,31.79,242801.65,162669.43
A111,Europa,Switzerland,Bebida Bolt,Naranja,Alta,16/11/2020,305997836,17/12/2020,7148,47.45,31.79,339172.6,227234.92
A112,Australia y Oceanía,Tuvalu,Bebida Bolt,Nuevo Mango,Baja,17/02/2022,310959708,21/03/2022,2698,47.45,31.79,128020.1,85769.42
A113,Centroamérica y Caribe,Panama,Bebida Bolt,Fresa,Baja,31/12/2022,314270627,19/01/2023,8554,47.45,31.79,405887.3,271931.66
A114,Norteamérica,Greenland,Bebida Bolt,Uva,Crítica,11/01/2022,335351932,20/02/2022,7609,47.45,31.79,361047.05,241890.11
A115,Centroamérica y Caribe,Jamaica,Bebida Bolt,Fresa,Alta,9/12/2022,336541545,25/01/2023,8227,47.45,31.79,390371.15,261536.33
A116,Europa,Belarus,Bebida Bolt,Uva,Alta,8/09/2022,345530164,16/09/2022,8910,47.45,31.79,422779.5,283248.9
A117,África,Zimbabwe,Bebida Bolt,Naranja,Media,4/12/2021,345889794,1/01/2022,7193,47.45,31.79,341307.85,228665.47
A118,Europa,Switzerland,Bebida Bolt,Nuevo Mango,Baja,23/11/2022,351650750,16/12/2022,2382,47.45,31.79,113025.9,75723.78
A119,África,Oman,Bebida Bolt,Fresa,Media,31/01/2022,372393023,19/02/2022,3703,47.45,31.79,175707.35,117718.37
A120,Europa,Italy,Bebida Bolt,Naranja,Alta,16/06/2022,395414102,14/07/2022,7552,47.45,31.79,358342.4,240078.08
A121,Europa,Finland,Bebida Bolt,Nuevo Mango,Crítica,1/08/2022,401447999,6/08/2022,2314,47.45,31.79,109799.3,73562.06
A122,Norteamérica,Mexico,Bebida Bolt,Nuevo Mango,Media,13/09/2020,422283828,3/10/2020,5934,47.45,31.79,281568.3,188641.86
A123,Asia,Japan,Bebida Bolt,Nuevo Mango,Media,26/02/2022,422620713,14/03/2022,1754,47.45,31.79,83227.3,55759.66
A124,África,The Gambia,Bebida Bolt,Nuevo Mango,Baja,20/07/2020,435887134,28/08/2020,4298,47.45,31.79,203940.1,136633.42
A125,África,Syria,Bebida Bolt,Fresa,Baja,25/05/2022,469912993,1/07/2022,7306,47.45,31.79,346669.7,232257.74
A126,Europa,Romania,Bebida Bolt,Uva,Alta,1/07/2021,477304303,2/07/2021,5799,47.45,31.79,275162.55,184350.21
A127,África,Somalia,Bebida Bolt,Naranja,Media,22/01/2021,494225394,3/03/2021,3403,47.45,31.79,161472.35,108181.37
A128,Centroamérica y Caribe,Costa Rica,Bebida Bolt,Nuevo Mango,Baja,17/09/2022,506900441,17/09/2022,1829,47.45,31.79,86786.05,58143.91
A129,Europa,Estonia,Bebida Bolt,Fresa,Alta,30/06/2022,516876542,31/07/2022,4061,47.45,31.79,192694.45,129099.19
A130,Centroamérica y Caribe,Grenada,Bebida Bolt,Naranja,Baja,13/10/2021,521885192,29/10/2021,5865,47.45,31.79,278294.25,186448.35
A131,África,Zambia,Bebida Bolt,Nuevo Mango,Crítica,18/02/2022,526523911,25/03/2022,6741,47.45,31.79,319860.45,214296.39
A132,Europa,Austria,Bebida Bolt,Fresa,Media,7/05/2021,536287581,6/06/2021,8566,47.45,31.79,406456.7,272313.14
A133,África,Iraq,Bebida Bolt,Uva,Alta,22/08/2020,540352094,6/09/2020,3926,47.45,31.79,186288.7,124807.54
A134,Europa,Liechtenstein,Bebida Bolt,Naranja,Media,26/05/2022,540324628,4/07/2022,2765,47.45,31.79,131199.25,87899.35
A135,Europa,Spain,Bebida Bolt,Nuevo Mango,Alta,24/05/2021,562583100,3/07/2021,5711,47.45,31.79,270986.95,181552.69
A136,África,Democratic Republic of the Congo,Bebida Bolt,Fresa,Media,6/06/2022,565477311,1/07/2022,7728,47.45,31.79,366693.6,245673.12
A137,Asia,China,Bebida Bolt,Naranja,Baja,28/10/2020,572249782,28/10/2020,4867,47.45,31.79,230939.15,154721.93
A138,África,Egypt,Bebida Bolt,Nuevo Mango,Crítica,24/09/2020,574051368,8/10/2020,2185,47.45,31.79,103678.25,69461.15
A139,África,Syria,Bebida Bolt,Fresa,Alta,4/05/2021,579580581,21/05/2021,7574,47.45,31.79,359386.3,240777.46
A140,África,Mozambique,Bebida Bolt,Naranja,Baja,18/08/2021,583977258,2/10/2021,8950,47.45,31.79,424677.5,284520.5
A141,África,Cote d'Ivoire,Bebida Bolt,Nuevo Mango,Baja,28/01/2022,623535764,8/02/2022,5023,47.45,31.79,238341.35,159681.17
A142,Centroamérica y Caribe,Saint Kitts and Nevis ,Bebida Bolt,Fresa,Alta,1/04/2023,632386195,21/05/2023,6078,47.45,31.79,288401.1,193219.62
A143,Europa,Portugal,Bebida Bolt,Uva,Media,8/07/2022,632866847,22/07/2022,7652,47.45,31.79,363087.4,243257.08
A144,Europa,Austria,Bebida Bolt,Fresa,Crítica,4/01/2021,643387544,27/01/2021,7481,47.45,31.79,354973.45,237820.99
A145,Centroamérica y Caribe,Guatemala,Bebida Bolt,Uva,Crítica,2/01/2022,670916020,9/01/2022,7393,47.45,31.79,350797.85,235023.47
A146,Europa,Hungary,Bebida Bolt,Naranja,Baja,14/04/2023,679107701,16/04/2023,1930,47.45,31.79,91578.5,61354.7
A147,Asia,Thailand,Bebida Bolt,Nuevo Mango,Baja,1/10/2021,695057189,15/10/2021,1810,47.45,31.79,85884.5,57539.9
A148,Europa,Romania,Bebida Bolt,Fresa,Baja,31/03/2022,707739102,6/04/2022,3782,47.45,31.79,179455.9,120229.78
A149,Europa,Poland,Bebida Bolt,Naranja,Crítica,30/10/2020,727281463,18/12/2020,4627,47.45,31.79,219551.15,147092.33
A150,Centroamérica y Caribe,Haiti,Bebida Bolt,Nuevo Mango,Baja,18/07/2022,731539952,19/07/2022,7782,47.45,31.79,369255.9,247389.78
A151,África,Republic of the Congo,Bebida Bolt,Nuevo Mango,Baja,5/12/2020,813131034,8/12/2020,3411,47.45,31.79,161851.95,108435.69
A152,Asia,Uzbekistan,Bebida Bolt,Nuevo Mango,Crítica,20/03/2021,814142549,23/04/2021,2301,47.45,31.79,109182.45,73148.79
A153,Centroamérica y Caribe,Belize,Bebida Bolt,Nuevo Mango,Media,14/04/2022,829201543,24/04/2022,3391,47.45,31.79,160902.95,107799.89
A154,África,Republic of the Congo,Bebida Bolt,Fresa,Baja,14/04/2023,830754220,16/04/2023,7698,47.45,31.79,365270.1,244719.42
A155,Asia,Nepal,Bebida Bolt,Uva,Baja,9/12/2020,838085019,28/12/2020,7033,47.45,31.79,333715.85,223579.07
A156,África,Ethiopia,Bebida Bolt,Naranja,Media,2/08/2022,852058255,7/08/2022,2518,47.45,31.79,119479.1,80047.22
A157,África,Swaziland,Bebida Bolt,Nuevo Mango,Media,2/04/2023,868652760,17/05/2023,2039,47.45,31.79,96750.55,64819.81
A158,África,Rwanda,Bebida Bolt,Fresa,Alta,2/07/2022,879757964,6/08/2022,2549,47.45,31.79,120950.05,81032.71
A159,África,Angola,Bebida Bolt,Naranja,Crítica,8/06/2022,890339171,19/07/2022,3727,47.45,31.79,176846.15,118481.33
A160,Asia,Philippines,Bebida Bolt,Nuevo Mango,Crítica,4/10/2022,892692220,18/10/2022,1950,47.45,31.79,92527.5,61990.5
A161,Europa,Portugal,Bebida Bolt,Fresa,Media,2/11/2021,897720181,9/11/2021,6236,47.45,31.79,295898.2,198242.44
A162,Norteamérica,Canada,Bebida Bolt,Uva,Media,17/10/2022,914382064,13/11/2022,4278,47.45,31.79,202991.1,135997.62
A163,África,Niger,Bebida Bolt,Naranja,Crítica,4/04/2023,917417895,6/04/2023,3701,47.45,31.79,175612.45,117654.79
A164,Asia,South Korea,Bebida Bolt,Nuevo Mango,Alta,9/09/2022,927084577,23/09/2022,3563,47.45,31.79,169064.35,113267.77
A165,Europa,Sweden,Bebida Bolt,Fresa,Baja,8/12/2020,938801753,19/12/2020,1322,47.45,31.79,62728.9,42026.38
A166,África,Cote d'Ivoire,Bebida Bolt,Naranja,Media,18/07/2022,939389693,25/07/2022,2661,47.45,31.79,126264.45,84593.19
A167,Europa,Estonia,Bebida Bolt,Nuevo Mango,Alta,29/10/2020,939460504,31/10/2020,5749,47.45,31.79,272790.05,182760.71
A168,África,Liberia,Bebida Bolt,Fresa,Baja,13/07/2021,940079343,24/08/2021,7543,47.45,31.79,357915.35,239791.97
A169,Europa,Macedonia,Bebida Bolt,Naranja,Baja,10/04/2022,941685664,30/05/2022,4723,47.45,31.79,224106.35,150144.17
A170,África,Cape Verde,Bebida Bolt,Nuevo Mango,Crítica,6/01/2021,945736443,27/01/2021,4479,47.45,31.79,212528.55,142387.41
A171,Europa,Poland,Bebida Bolt,Fresa,Media,2/02/2023,961049926,16/02/2023,3892,47.45,31.79,184675.4,123726.68
A172,Centroamérica y Caribe,Guatemala,Bebida Bolt,Uva,Alta,26/01/2023,967345178,8/03/2023,5661,47.45,31.79,268614.45,179963.19
A173,Asia,Indonesia,Bebida Bolt,Fresa,Baja,19/06/2021,967977750,1/08/2021,6087,47.45,31.79,288828.15,193505.73
A174,Asia,Taiwan,Bebida Bolt,Uva,Media,5/11/2021,115831792,26/11/2021,6132,47.45,31.79,290963.4,194936.28
A175,Australia y Oceanía,East Timor,Bebida Bolt,Naranja,Alta,4/02/2021,116113746,18/02/2021,8336,47.45,31.79,395543.2,265001.44
A176,Europa,Norway,Bebida Bolt,Nuevo Mango,Baja,25/12/2022,121176040,9/01/2023,8772,47.45,31.79,416231.4,278861.88
A177,Europa,Germany,Bebida Bolt,Fresa,Media,3/06/2022,121239984,2/07/2022,7317,47.45,31.79,347191.65,232607.43
A178,Centroamérica y Caribe,The Bahamas,Bebida Bolt,Naranja,Baja,28/12/2020,128816258,29/12/2020,8070,47.45,31.79,382921.5,256545.3
A179,África,Liberia,Bebida Bolt,Nuevo Mango,Media,25/11/2020,136167657,8/12/2020,7713,47.45,31.79,365981.85,245196.27
A180,Asia,India,Bebida Bolt,Nuevo Mango,Alta,21/09/2021,144708669,22/10/2021,3875,47.45,31.79,183868.75,123186.25
A181,Europa,Germany,Bebida Bolt,Nuevo Mango,Alta,22/06/2021,146849286,12/07/2021,4025,47.45,31.79,190986.25,127954.75
A182,Europa,Greece,Bebida Bolt,Nuevo Mango,Media,4/05/2022,150160205,11/05/2022,4810,47.45,31.79,228234.5,152909.9
A183,Europa,Georgia,Bebida Bolt,Fresa,Alta,11/04/2021,152694785,5/05/2021,4733,47.45,31.79,224580.85,150462.07
A184,África,Turkey,Bebida Bolt,Uva,Alta,28/02/2022,152819240,4/04/2022,4358,47.45,31.79,206787.1,138540.82
A185,Australia y Oceanía,Papua New Guinea,Bebida Bolt,Naranja,Alta,7/10/2022,156183803,14/11/2022,3994,47.45,31.79,189515.3,126969.26
A186,Europa,Cyprus,Bebida Bolt,Nuevo Mango,Crítica,31/12/2020,160264194,14/01/2021,5213,47.45,31.79,247356.85,165721.27
A187,Asia,Taiwan,Bebida Bolt,Fresa,Crítica,21/01/2023,162745130,5/02/2023,8068,47.45,31.79,382826.6,256481.72
A188,Australia y Oceanía,Solomon Islands,Bebida Bolt,Naranja,Alta,22/09/2021,187923991,3/11/2021,8772,47.45,31.79,416231.4,278861.88
A189,África,Malawi,Bebida Bolt,Nuevo Mango,Alta,26/11/2021,193923556,7/12/2021,8952,47.45,31.79,424772.4,284584.08
A190,Europa,Cyprus,Bebida Bolt,Fresa,Media,29/11/2022,200081908,29/11/2022,6167,47.45,31.79,292624.15,196048.93
A191,Europa,Italy,Bebida Bolt,Uva,Baja,17/09/2021,203154218,30/09/2021,6086,47.45,31.79,288780.7,193473.94
A192,Australia y Oceanía,Fiji,Bebida Bolt,Naranja,Baja,23/06/2022,207990348,9/07/2022,7080,47.45,31.79,335946,225073.2
A193,Europa,San Marino,Bebida Bolt,Nuevo Mango,Media,5/05/2022,211913239,16/05/2022,7761,47.45,31.79,368259.45,246722.19
